이름,국가,키(cm),개인기,골결,드리블,중거리,크로스,패스,헤더,몸싸움,가속도,주력,점프거리,균형감각,일대일 마크,태클,수비위치선정,예측력
Melvin Feycal MASTIL,Algeria,194,7,3,3,3,3,12,2,15,5,6,15,12,3,1,12,13
Aissa MANDI,Algeria,184,12,5,11,5,13,14,12,14,12,12,13,14,13,13,14,13
Achref ABADA,Algeria,187,8,4,5,5,4,9,15,8,11,13,15,10,10,12,10,12
Mohamed Amine TOUGAI,Algeria,191,12,8,9,8,7,12,14,13,13,12,14,12,12,14,14,14
Zineddine BELAÏD,Algeria,186,11,8,7,6,7,12,13,13,12,13,15,13,12,14,13,12
Ramiz Larbi ZERROUKI,Algeria,183,14,7,12,12,11,14,11,12,10,11,11,13,14,12,14,12
Riyad Karim MAHREZ,Algeria,179,19,14,17,13,16,17,7,9,13,11,9,15,5,6,6,14
Houssem-Eddine Chaabane AOUAR,Algeria,175,17,13,16,11,11,16,8,9,14,11,8,15,8,8,9,15
Amine Ferid GHOUIRI,Algeria,181,15,15,15,15,12,13,11,13,15,14,13,14,4,4,8,14
Fares CHAIBI,Algeria,183,16,8,13,11,12,14,8,11,13,13,10,12,8,10,9,12
Anis HADJ MOUSSA,Algeria,176,15,8,17,9,14,13,7,8,16,14,8,13,3,7,4,12
Ahmed Nadhir BENBOUALI,Algeria,190,13,13,12,10,7,11,14,12,12,13,15,12,6,7,10,12
Jaouen Djimmy HADJAM,Algeria,184,14,7,13,9,13,13,9,13,14,13,11,13,11,12,9,12
Hicham BOUDAOUI,Algeria,175,15,14,13,10,11,14,8,11,13,13,8,13,13,14,14,12
Rayan AÏT-NOURI,Algeria,180,15,10,17,9,14,13,11,11,14,15,10,13,12,15,14,13
Oussama BENBOT,Algeria,188,1,1,1,1,1,7,1,4,10,10,15,9,3,1,12,8
Rak BELGHALI,Algeria,180,11,8,12,7,12,12,10,13,13,14,10,11,12,12,10,11
